x,qx
20,0.001398
21,0.001524
22,0.001612
23,0.001682
24,0.001747
25,0.001812
26,0.001884
27,0.001974
28,0.002070
29,0.002172
30,0.002275
31,0.002368
32,0.002441
33,0.002517
34,0.002590
35,0.002673
36,0.002791
37,0.002923
38,0.003054
39,0.003207
40,0.003333
41,0.003464
42,0.003587
43,0.003735
44,0.003911
45,0.004137
46,0.004452
47,0.004823
48,0.005214
49,0.005594
50,0.005998
51,0.006500
52,0.007081
53,0.007711
54,0.008394
55,0.009109
56,0.009881
57,0.010687
58,0.011566
59,0.012497
60,0.013485
61,0.014595
62,0.015702
63,0.016836
64,0.017908
65,0.018943
66,0.020103
67,0.021345
68,0.022750
69,0.024325
70,0.026137
71,0.028125
72,0.030438
73,0.033249
74,0.036975
75,0.040633
76,0.044710
77,0.049152
78,0.054265
79,0.059658
80,0.065568
81,0.072130
82,0.079691
83,0.088578
84,0.098388
85,0.109139
86,0.120765
87,0.133763
88,0.148370
89,0.164535
90,0.182632
91,0.202773
92,0.223707
93,0.245124
94,0.266933
95,0.288602
96,0.309781
97,0.330099
98,0.349177
99,0.366635
100,0.384967
101,0.404215
102,0.424426
103,0.445648
104,0.467930
105,0.491326
106,0.515893
107,0.541687
108,0.568772
109,0.597210
110,0.627071
111,0.658424
112,0.691346
113,0.725913
114,0.762209
115,0.800319
116,0.840335
117,0.882352
118,0.926469
119,1.000000